name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
house,KitchenAbvGr,501.0,0.1218,0.0045,1.0,2.0,1.0455,1.0,0.2083,4.3644,17.0476,0.0,0.0,0.0348,0.1964,0.0066,0.1595,0.0069,0.1919,0.1849,34.0909,RandomForest,0.7739964795928674,0.7739964795928674,0.7739964795928674,0.7739964795928674,0.7739964795928674,0.7750713018718276,0.7761313309974409,0.7761313309974409,0.7750713018718276
house,KitchenAbvGr,501.0,0.1218,0.0045,1.0,2.0,1.0455,1.0,0.2083,4.3644,17.0476,0.0,0.0,0.0348,0.1964,0.0066,0.1595,0.0069,0.1919,0.1849,34.0909,AdaBoost,0.7516835410078365,0.7343598544608011,0.7617173531755005,0.7614893597293335,0.748441506691829,0.7609312542809142,0.7534840292113941,0.7655146355172054,0.748441506691829
house,KitchenAbvGr,501.0,0.1218,0.0045,1.0,2.0,1.0455,1.0,0.2083,4.3644,17.0476,0.0,0.0,0.0348,0.1964,0.0066,0.1595,0.0069,0.1919,0.1849,34.0909,SVC,0.765220413338509,0.765220413338509,0.765220413338509,0.765220413338509,0.765220413338509,0.765220413338509,0.765220413338509,0.765220413338509,0.765220413338509
house,KitchenAbvGr,501.0,0.0519,0.0042,1.0,2.0,1.0421,1.0,0.2008,4.56,18.794,0.0,0.0,0.0524,0.2112,0.0223,0.1652,0.0235,0.1988,0.1746,34.3421,DecisionTree,0.7671578712807932,0.7680151625785114,0.7705621497780084,0.7680151625785114,0.7680151625785114,0.7731791105594694,0.769655668553174,0.7705129598508922,0.7680151625785114
house,KitchenAbvGr,501.0,0.0519,0.0042,1.0,2.0,1.0421,1.0,0.2008,4.56,18.794,0.0,0.0,0.0524,0.2112,0.0223,0.1652,0.0235,0.1988,0.1746,34.3421,LogisticRegression,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319
house,KitchenAbvGr,501.0,0.0519,0.0042,1.0,2.0,1.0421,1.0,0.2008,4.56,18.794,0.0,0.0,0.0524,0.2112,0.0223,0.1652,0.0235,0.1988,0.1746,34.3421,KNN,0.7925379775709416,0.7925379775709416,0.7925379775709416,0.7925379775709416,0.7925379775709416,0.7925379775709416,0.7901277608560892,0.7876737835406662,0.7900840002555187
house,KitchenAbvGr,501.0,0.0519,0.0042,1.0,2.0,1.0421,1.0,0.2008,4.56,18.794,0.0,0.0,0.0524,0.2112,0.0223,0.1652,0.0235,0.1988,0.1746,34.3421,RandomForest,0.7750713018718276,0.7750713018718276,0.7750713018718276,0.7750713018718276,0.7750713018718276,0.7750713018718276,0.7750713018718276,0.7750713018718276,0.7750713018718276
house,KitchenAbvGr,501.0,0.0519,0.0042,1.0,2.0,1.0421,1.0,0.2008,4.56,18.794,0.0,0.0,0.0524,0.2112,0.0223,0.1652,0.0235,0.1988,0.1746,34.3421,AdaBoost,0.7568410825504157,0.7568410825504157,0.7605370994350672,0.7621900138537702,0.7568410825504157,0.7586994775049508,0.7580143463726862,0.7603467619363626,0.7660254008809222
house,KitchenAbvGr,501.0,0.0519,0.0042,1.0,2.0,1.0421,1.0,0.2008,4.56,18.794,0.0,0.0,0.0524,0.2112,0.0223,0.1652,0.0235,0.1988,0.1746,34.3421,SVC,0.765220413338509,0.765220413338509,0.765220413338509,0.765220413338509,0.765220413338509,0.765220413338509,0.765220413338509,0.7660438652489173,0.765220413338509
house,GarageCars,501.0,0.519,0.0207,0.0,5.0,1.7801,2.0,0.7269,0.1035,1.1301,0.0,1.0,0.0343,0.3983,0.0433,0.3778,0.0456,0.4607,1.075,4.8846,DecisionTree,0.7672701385552696,0.7881846634386285,0.7893346064397733,0.7851345250008251,0.7797351638614891,0.7902399303906361,0.7820284245982662,0.7770250454140208,0.7809582684033791
