name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_xgb_imputer,impute_catboost,impute_rfi,impute_mlp
BachChoralHarmony,V6,5665.0,0.4021,0.8775,7.1614,0.0006,0.2151,0.3719,34.5605,2.1225,0.3279,0.9091,0.9645,2.0,3.0,RandomForest,0.4735904797759542,0.4737615406184863,0.4684723210006401,0.473318437489839
BachChoralHarmony,V6,5665.0,0.4021,0.8775,7.1614,0.0006,0.2151,0.3719,34.5605,2.1225,0.3279,0.9091,0.9645,2.0,3.0,AdaBoost,0.0619545582019639,0.0619545582019639,0.0619545582019639,0.0619545582019639
BachChoralHarmony,V6,5665.0,0.4021,0.8775,7.1614,0.0006,0.2151,0.3719,34.5605,2.1225,0.3279,0.9091,0.9645,2.0,3.0,SVC,0.499662644122945,0.4986201285475786,0.4970920620114769,0.4992807261391025
BachChoralHarmony,V6,5665.0,0.3569,0.8751,7.0066,0.0005,0.2187,0.3766,34.3827,2.1249,0.3306,0.9063,0.9589,2.0,3.0,DecisionTree,0.4411679807356109,0.4345242659286449,0.4333938162515895,0.4365105875083078
BachChoralHarmony,V6,5665.0,0.3569,0.8751,7.0066,0.0005,0.2187,0.3766,34.3827,2.1249,0.3306,0.9063,0.9589,2.0,3.0,LogisticRegression,0.5011339875686999,0.500927647084879,0.4997828476864829,0.4991457045031029
BachChoralHarmony,V6,5665.0,0.3569,0.8751,7.0066,0.0005,0.2187,0.3766,34.3827,2.1249,0.3306,0.9063,0.9589,2.0,3.0,KNN,0.4607497704266883,0.4619706760026009,0.4589238985999884,0.4595227246961723
BachChoralHarmony,V6,5665.0,0.3569,0.8751,7.0066,0.0005,0.2187,0.3766,34.3827,2.1249,0.3306,0.9063,0.9589,2.0,3.0,RandomForest,0.474235614641911,0.4767124051826774,0.4707523932488297,0.47503386660652
BachChoralHarmony,V6,5665.0,0.3569,0.8751,7.0066,0.0005,0.2187,0.3766,34.3827,2.1249,0.3306,0.9063,0.9589,2.0,3.0,AdaBoost,0.0619545582019639,0.0619545582019639,0.0619545582019639,0.0619545582019639
BachChoralHarmony,V6,5665.0,0.3569,0.8751,7.0066,0.0005,0.2187,0.3766,34.3827,2.1249,0.3306,0.9063,0.9589,2.0,3.0,SVC,0.5003941656088626,0.5008671760462372,0.4973276549402707,0.5010127735979922
BachChoralHarmony,V6,5665.0,0.2992,0.8743,6.9559,0.0005,0.2198,0.3781,35.8942,2.1257,0.3315,0.9054,0.9569,2.0,3.0,DecisionTree,0.4362160825592377,0.4386129126161661,0.4351243544047329,0.4400960323339705
BachChoralHarmony,V6,5665.0,0.2992,0.8743,6.9559,0.0005,0.2198,0.3781,35.8942,2.1257,0.3315,0.9054,0.9569,2.0,3.0,LogisticRegression,0.5044830175090733,0.5078380578679595,0.5027502889384874,0.5057385462341492
BachChoralHarmony,V6,5665.0,0.2992,0.8743,6.9559,0.0005,0.2198,0.3781,35.8942,2.1257,0.3315,0.9054,0.9569,2.0,3.0,KNN,0.4624972624575509,0.4647024649486878,0.4626068572800146,0.46560731814945
BachChoralHarmony,V6,5665.0,0.2992,0.8743,6.9559,0.0005,0.2198,0.3781,35.8942,2.1257,0.3315,0.9054,0.9569,2.0,3.0,RandomForest,0.4768162371352736,0.4773803200777762,0.4718139280586499,0.4779395858609282
BachChoralHarmony,V6,5665.0,0.2992,0.8743,6.9559,0.0005,0.2198,0.3781,35.8942,2.1257,0.3315,0.9054,0.9569,2.0,3.0,AdaBoost,0.0619545582019639,0.0532328023549112,0.0619545582019639,0.0650398421244164
BachChoralHarmony,V6,5665.0,0.2992,0.8743,6.9559,0.0005,0.2198,0.3781,35.8942,2.1257,0.3315,0.9054,0.9569,2.0,3.0,SVC,0.5007761424096406,0.5037507853808709,0.5011773397880008,0.5030201496827441
BachChoralHarmony,V6,5665.0,0.2461,0.8757,7.0433,0.0005,0.2178,0.3755,35.9796,2.1243,0.33,0.907,0.9603,2.0,3.0,DecisionTree,0.4452231138841159,0.4457334039528182,0.440228089683101,0.4412454273958417
BachChoralHarmony,V6,5665.0,0.2461,0.8757,7.0433,0.0005,0.2178,0.3755,35.9796,2.1243,0.33,0.907,0.9603,2.0,3.0,LogisticRegression,0.5033477640369813,0.5052430657423559,0.5009200823665497,0.5012283644378199
BachChoralHarmony,V6,5665.0,0.2461,0.8757,7.0433,0.0005,0.2178,0.3755,35.9796,2.1243,0.33,0.907,0.9603,2.0,3.0,KNN,0.4654155024785484,0.4648491689369244,0.4651513528043007,0.4637267710518146
BachChoralHarmony,V6,5665.0,0.2461,0.8757,7.0433,0.0005,0.2178,0.3755,35.9796,2.1243,0.33,0.907,0.9603,2.0,3.0,RandomForest,0.4819412165338361,0.4805117081278846,0.4750887764437467,0.4779015978706701
BachChoralHarmony,V6,5665.0,0.2461,0.8757,7.0433,0.0005,0.2178,0.3755,35.9796,2.1243,0.33,0.907,0.9603,2.0,3.0,AdaBoost,0.0627579921937311,0.0627688948934225,0.0631653925781158,0.0619545582019639
BachChoralHarmony,V6,5665.0,0.2461,0.8757,7.0433,0.0005,0.2178,0.3755,35.9796,2.1243,0.33,0.907,0.9603,2.0,3.0,SVC,0.5053727700650202,0.5053411857056274,0.5022281822749078,0.5029482340267659
BachChoralHarmony,V6,5665.0,0.2037,0.8741,6.9419,0.0004,0.2202,0.3785,35.8803,2.1259,0.3318,0.9051,0.9563,2.0,3.0,DecisionTree,0.4395668487913581,0.4403801603135608,0.4399116494818131,0.4396386021771875
BachChoralHarmony,V6,5665.0,0.2037,0.8741,6.9419,0.0004,0.2202,0.3785,35.8803,2.1259,0.3318,0.9051,0.9563,2.0,3.0,LogisticRegression,0.5049430469311037,0.5055961877794379,0.5036149851083568,0.5060640846452703
BachChoralHarmony,V6,5665.0,0.2037,0.8741,6.9419,0.0004,0.2202,0.3785,35.8803,2.1259,0.3318,0.9051,0.9563,2.0,3.0,KNN,0.4660820559983705,0.466831252392754,0.4651940431164937,0.4669016493884782
BachChoralHarmony,V6,5665.0,0.2037,0.8741,6.9419,0.0004,0.2202,0.3785,35.8803,2.1259,0.3318,0.9051,0.9563,2.0,3.0,RandomForest,0.4796674261103721,0.4810551852243223,0.4804685813753164,0.481684335204634
