name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_mlp
mv,x7,40768.0,0.1495,0.7034,2.371,0.0001,0.4173,0.608,25.2095,2.2966,0.4568,0.709,0.2302,2.0,3.0,MLP,0.960727958655533,0.9605672681614709,0.9604902167045322,0.9557743378750079,0.9608579549290915,0.9562976626225914,0.9560017496885339,0.9605672681614709,0.9605672681614709,0.9605672681614709,0.9606575340027872,0.9607860796845382,0.9605672681614709
mv,x7,40768.0,0.1495,0.7034,2.371,0.0001,0.4173,0.608,25.2095,2.2966,0.4568,0.709,0.2302,2.0,3.0,TabNet,0.9610191056211577,0.9611521616707959,0.9613846041876755,0.956004722976076,0.9609011954040774,0.9567318580323878,0.9563068092552622,0.9611521616707959,0.9611521616707959,0.9611521616707959,0.9608057210124938,0.9612760726425048,0.9611521616707959
mv,x7,40768.0,0.0967,0.7034,2.371,0.0001,0.4173,0.608,32.6258,2.2966,0.4568,0.709,0.2302,2.0,3.0,MLP,0.9603767169759695,0.961065560791076,0.9602188990859877,0.9566635347723232,0.9602845819141437,0.9565980435418353,0.9564204205721805,0.961065560791076,0.961065560791076,0.961065560791076,0.9612269686872897,0.9604289717035657,0.961065560791076
mv,x7,40768.0,0.0967,0.7034,2.371,0.0001,0.4173,0.608,32.6258,2.2966,0.4568,0.709,0.2302,2.0,3.0,TabNet,0.9605610263003682,0.9613177697936188,0.9611632149118738,0.9564531294826328,0.9609565043618596,0.9566857111546134,0.9567084077947694,0.9613177697936188,0.9613177697936188,0.9613177697936188,0.9612366857586467,0.960755694866278,0.9613177697936188
mv,x7,40768.0,0.0499,0.703,2.3675,0.0001,0.4176,0.6083,32.6141,2.297,0.4569,0.7086,0.2297,2.0,3.0,MLP,0.9610003316900271,0.9606513074088979,0.9607112462966121,0.9564373273337907,0.9607623859702598,0.9562978665120349,0.9562554221688753,0.9606513074088979,0.9606513074088979,0.9606513074088979,0.9606513074088979,0.9603307625094754,0.9606513074088979
mv,x7,40768.0,0.0499,0.703,2.3675,0.0001,0.4176,0.6083,32.6141,2.297,0.4569,0.7086,0.2297,2.0,3.0,TabNet,0.9607249403598602,0.961130079186518,0.9611100451680926,0.9565645441278312,0.9611565936403478,0.9566090753910588,0.9562347975201548,0.961130079186518,0.961130079186518,0.961130079186518,0.961130079186518,0.9606406936849963,0.961130079186518
mv,x8,40768.0,0.4994,0.7538,3.0611,0.0001,0.3712,0.5582,25.2821,5.7538,0.4308,0.2354,0.3516,5.0,6.0,MLP,0.9591885252506573,0.9597011202835397,0.9589172498639389,0.9549280575481585,0.9578424823126713,0.9562228927824791,0.9573679249746532,0.9597011202835397,0.9597011202835397,0.9609389162774908,0.959992055003024,0.9587305406230472,0.9600431031753776
mv,x8,40768.0,0.4994,0.7538,3.0611,0.0001,0.3712,0.5582,25.2821,5.7538,0.4308,0.2354,0.3516,5.0,6.0,TabNet,0.959788512575602,0.9599453862795034,0.9588284935632649,0.9559984590849387,0.9590044052417821,0.9571228321136186,0.9574856208773608,0.9599453862795034,0.9599453862795034,0.9609842574842421,0.9610787521829209,0.9597239831014284,0.9606747743148389
mv,x8,40768.0,0.4522,0.752,3.0329,0.0001,0.373,0.5601,25.1528,5.752,0.4318,0.2373,0.3458,5.0,6.0,MLP,0.9584977403292622,0.9599724193828965,0.957908362239277,0.9557575486525146,0.9585354289061758,0.957045000106851,0.9572548732810131,0.9599724193828965,0.9599724193828965,0.9598110342327484,0.9599431130361515,0.9589107597442201,0.9594703320030117
mv,x8,40768.0,0.4522,0.752,3.0329,0.0001,0.373,0.5601,25.1528,5.752,0.4318,0.2373,0.3458,5.0,6.0,TabNet,0.958419182526808,0.9600997880771258,0.959406245978873,0.9566535224938713,0.9590520013074225,0.9573228212396648,0.9575717061619927,0.9600997880771258,0.9600997880771258,0.9608420555709792,0.9602881871604605,0.9594240195989807,0.9599667682572091
mv,x8,40768.0,0.4009,0.7547,3.0771,0.0001,0.3702,0.5571,34.5523,5.7547,0.4302,0.2343,0.3548,5.0,6.0,MLP,0.9582283769415794,0.9600305870335549,0.9589309909655284,0.9556171253664576,0.957873780499348,0.9573071257326934,0.9573679249746532,0.9600305870335549,0.9600305870335549,0.9609249375902871,0.9603414728397877,0.9587684741709266,0.9604044863504833
mv,x8,40768.0,0.4009,0.7547,3.0771,0.0001,0.3702,0.5571,34.5523,5.7547,0.4302,0.2343,0.3548,5.0,6.0,TabNet,0.9595137859228039,0.9603841827553904,0.9595896696809345,0.956125515416516,0.9587351610018082,0.9577603007984736,0.9574856208773608,0.9603841827553904,0.9603841827553904,0.9607703613533469,0.9606501724007477,0.9599300899674186,0.9609118488183942
mv,x8,40768.0,0.3485,0.7541,3.0672,0.0001,0.3708,0.5577,28.3833,5.7541,0.4306,0.235,0.3528,5.0,6.0,MLP,0.9590876171477076,0.9600367026045447,0.9587158219635868,0.955621074198619,0.9588980535435858,0.9576347563306854,0.9573679249746532,0.9600367026045447,0.9600367026045447,0.9610282474720152,0.9608653404769886,0.9590538771807462,0.9596114827105896
mv,x8,40768.0,0.3485,0.7541,3.0672,0.0001,0.3708,0.5577,28.3833,5.7541,0.4306,0.235,0.3528,5.0,6.0,TabNet,0.9596206419741038,0.9599942152086489,0.9594828502646481,0.9561340782062686,0.9594124433043194,0.9578190648322322,0.9574856208773608,0.9599942152086489,0.9599942152086489,0.9612577981590893,0.9612343031556186,0.9594891696963975,0.9603903332617332
mv,x8,40768.0,0.2927,0.752,3.0329,0.0001,0.373,0.5601,28.2523,5.752,0.4318,0.2373,0.3458,5.0,6.0,MLP,0.9586565452227683,0.9595763958834276,0.9591476133340128,0.9563857804706729,0.9587778282493562,0.9568856489195736,0.9573679249746532,0.9595763958834276,0.9595763958834276,0.9598395349892943,0.9595281085417339,0.9587589812381131,0.9599420666447692
mv,x8,40768.0,0.2927,0.752,3.0329,0.0001,0.373,0.5601,28.2523,5.752,0.4318,0.2373,0.3458,5.0,6.0,TabNet,0.9589287897614076,0.9597480768531287,0.9589921847831264,0.9568133581688478,0.9596587467599207,0.9574097663438872,0.9574856208773608,0.9597480768531287,0.9597480768531287,0.9608821858212093,0.9610337885040071,0.9591626527988607,0.9603530401250107
mv,x8,40768.0,0.2481,0.752,3.0318,0.0001,0.373,0.5602,25.148,5.752,0.4319,0.2374,0.3456,5.0,6.0,MLP,0.9592128645684296,0.9589096887289144,0.9595187974231536,0.9558539147189915,0.9591627356778594,0.956550513877201,0.9573679249746532,0.9589096887289144,0.9589096887289144,0.959904064416999,0.9598496142770492,0.959274762954543,0.9602357992078898
mv,x8,40768.0,0.2481,0.752,3.0318,0.0001,0.373,0.5602,25.148,5.752,0.4319,0.2374,0.3456,5.0,6.0,TabNet,0.9595743454235202,0.9600849106931441,0.9595049999477031,0.9564748487577716,0.9600104868914352,0.9579036561301849,0.9574856208773608,0.9600849106931441,0.9600849106931441,0.9611341478579905,0.9606462435067172,0.9602848333012032,0.9610318723070039
mv,x8,40768.0,0.1989,0.7538,3.0611,0.0001,0.3712,0.5582,28.3599,5.7538,0.4308,0.2354,0.3515,5.0,6.0,MLP,0.9598596017472809,0.9604308866630503,0.9593788660952142,0.9564163288797933,0.9594368995691822,0.9571885775211856,0.9573679249746532,0.9604308866630503,0.9604308866630503,0.9607489498599135,0.9604123653115191,0.9599130694368727,0.9603259318535771
mv,x8,40768.0,0.1989,0.7538,3.0611,0.0001,0.3712,0.5582,28.3599,5.7538,0.4308,0.2354,0.3515,5.0,6.0,TabNet,0.959513004548199,0.9606870679254768,0.9595508457786581,0.9564697736244889,0.9597654857420603,0.9575354650819043,0.9574856208773608,0.9606870679254768,0.9606870679254768,0.9610730286500901,0.961150011570814,0.9599145956453967,0.960934318816077
mv,x8,40768.0,0.1499,0.7545,3.0738,0.0001,0.3704,0.5573,34.5449,5.7545,0.4304,0.2345,0.3541,5.0,6.0,MLP,0.9592858211443888,0.9599035139785173,0.9593557345700674,0.9571005712067532,0.9602989448594947,0.9568405286288597,0.9573679249746532,0.9599035139785173,0.9599035139785173,0.9607136575818829,0.9605872793512811,0.9590370143999323,0.9607257332702358
mv,x8,40768.0,0.1499,0.7545,3.0738,0.0001,0.3704,0.5573,34.5449,5.7545,0.4304,0.2345,0.3541,5.0,6.0,TabNet,0.9604541049992739,0.9606932355225177,0.9597031065207771,0.957264914155219,0.9606560971301971,0.9576939328112265,0.9574856208773608,0.9606932355225177,0.9606932355225177,0.9611158845556198,0.960970318749422,0.9599738837875634,0.9610567365829098
mv,x8,40768.0,0.1014,0.7531,3.0508,0.0001,0.3719,0.5589,34.4925,5.7531,0.4312,0.2361,0.3494,5.0,6.0,MLP,0.9598759974568212,0.9600125003891744,0.9597117474201472,0.9567696198226688,0.9599565222590569,0.957314413741744,0.9573679249746532,0.9600125003891744,0.9600125003891744,0.9604864333668819,0.960575260080979,0.9595579100143992,0.9607472716405717
mv,x8,40768.0,0.1014,0.7531,3.0508,0.0001,0.3719,0.5589,34.4925,5.7531,0.4312,0.2361,0.3494,5.0,6.0,TabNet,0.9608596159429641,0.9601268619621448,0.960162224287356,0.9572240397217702,0.960386980714853,0.9575830656762463,0.9574856208773608,0.9601268619621448,0.9601268619621448,0.960771060026199,0.9610671102162802,0.9605076234798166,0.960636621830157
mv,x8,40768.0,0.0478,0.7523,3.0365,0.0001,0.3727,0.5598,28.2663,5.7523,0.4317,0.2371,0.3466,5.0,6.0,MLP,0.9592742996293233,0.9596166223188788,0.9597418291508145,0.9572717742064686,0.9603641263097848,0.9574156436603511,0.9573679249746532,0.9596166223188788,0.9596166223188788,0.9607730692420762,0.9605704441526093,0.9603057538042976,0.9608152683648616
mv,x8,40768.0,0.0478,0.7523,3.0365,0.0001,0.3727,0.5598,28.2663,5.7523,0.4317,0.2371,0.3466,5.0,6.0,TabNet,0.9603930024404864,0.9601710100249344,0.9603015999754083,0.9572515015286773,0.9605311655473757,0.9576587935289762,0.9574856208773608,0.9601710100249344,0.9601710100249344,0.9611271125768508,0.9612150384311791,0.961071120757966,0.960977735612725
nursery,'parents',12960.0,0.5023,0.336,1.0178,0.0005,0.6668,1.0986,1.2947,8.6502,2.6282,0.35,0.1801,5.0,11.0,MLP,0.7268463366753973,0.7118552759361907,0.7149326981451075,0.29604071054831743,0.7118552759361907,0.4737905021458977,0.35222019762406537,0.7118552759361907,0.7258955383440102,0.7136193886901001,0.7130128472652227,0.7282428111587317,0.7173501982560601
