name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto,impute_xgb_imputer,impute_catboost,impute_rfi,impute_mlp
house,HeatingQC,501.0,0.1297,0.4908,15.2857,0.0092,0.6297,1.1091,7.2752,2.0,0.0,,,2.0,2.0,TabNet,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319
house,HeatingQC,501.0,0.1238,0.4943,15.5,0.0091,0.6296,1.1098,4.3544,2.0,0.0,,,2.0,2.0,MLP,0.7645224897108287,0.7640395740084075,0.7603523919236539,0.7661754041295319,0.7611658065516401,0.7661754041295319,0.7661754041295319,0.7626339001844837,0.7619919377158495,0.7626339001844837,0.7628408454990638,0.7640395740084075
house,HeatingQC,501.0,0.1238,0.4943,15.5,0.0091,0.6296,1.1098,4.3544,2.0,0.0,,,2.0,2.0,TabNet,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7698490836381209,0.7628408454990638,0.7653492729653224,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319
house,HeatingQC,501.0,0.0639,0.4947,12.8889,0.0085,0.6327,1.1231,4.408,2.0,0.0,,,2.0,2.0,MLP,0.7636963585466193,0.7626339001844837,0.7634828079676981,0.7661754041295319,0.7611658065516401,0.7661754041295319,0.7661754041295319,0.7619919377158495,0.7644947549003207,0.766587404338008,0.7626339001844837,0.7626339001844837
house,HeatingQC,501.0,0.0639,0.4947,12.8889,0.0085,0.6327,1.1231,4.408,2.0,0.0,,,2.0,2.0,TabNet,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7681961692194179,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319
house,GarageType,501.0,0.519,0.6183,149.0,0.0249,0.5207,0.9186,3.1329,6.0664,0.249,0.9702,1.0,6.0,7.0,MLP,0.7661754041295319,0.7661754041295319,0.7636791804678917,0.7681627088048569,0.7645202065484662,0.7653809663856154,0.7661754041295319,0.7661754041295319,0.7653507930602645,0.7645202065484662,0.7651621690171004,0.7661754041295319
house,GarageType,501.0,0.519,0.6183,149.0,0.0249,0.5207,0.9186,3.1329,6.0664,0.249,0.9702,1.0,6.0,7.0,TabNet,0.7661754041295319,0.7645202065484662,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7645202065484662,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7645202065484662
house,GarageType,501.0,0.4651,0.6306,169.0,0.0224,0.5104,0.8932,3.1367,6.0634,0.2437,0.9729,1.0,6.0,7.0,MLP,0.761194525493668,0.7645202065484662,0.7704007370756557,0.7653519522191234,0.7645202065484662,0.7653519522191234,0.7645224897108287,0.7645202065484662,0.7645202065484662,0.7645202065484662,0.7645202065484662,0.7645202065484662
house,GarageType,501.0,0.4651,0.6306,169.0,0.0224,0.5104,0.8932,3.1367,6.0634,0.2437,0.9729,1.0,6.0,7.0,TabNet,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7653519522191234,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319
house,GarageType,501.0,0.3892,0.634,194.0,0.0163,0.5016,0.8545,4.1973,6.0556,0.2291,0.9798,1.0,6.0,7.0,MLP,0.7617971801427448,0.7653519522191234,0.7652955187724954,0.7682477361870638,0.7653519522191234,0.7780182673837647,0.7682477361870638,0.7653519522191234,0.7653519522191234,0.7653492729653224,0.7628350903969882,0.7653519522191234
house,GarageType,501.0,0.3892,0.634,194.0,0.0163,0.5016,0.8545,4.1973,6.0556,0.2291,0.9798,1.0,6.0,7.0,TabNet,0.7661754041295319,0.7653492729653224,0.7661754041295319,0.7636978786415614,0.7628350903969882,0.7636978786415614,0.7636978786415614,0.7653492729653224,0.7628350903969882,0.7628350903969882,0.7636791804678917,0.7653492729653224
house,GarageType,501.0,0.3812,0.6645,206.0,0.0161,0.4744,0.8002,4.8269,6.0452,0.2077,0.9876,1.0,6.0,7.0,MLP,0.7612019430814653,0.7653492729653224,0.7653492729653224,0.7739053177362996,0.7651220719103067,0.764525821054914,0.773203572642785,0.7653492729653224,0.7651220719103067,0.7636791804678917,0.7617733190340015,0.7653492729653224
house,GarageType,501.0,0.3812,0.6645,206.0,0.0161,0.4744,0.8002,4.8269,6.0452,0.2077,0.9876,1.0,6.0,7.0,TabNet,0.7653492729653224,0.7645172197139143,0.7611284937445432,0.7653519522191234,0.7628350903969882,0.7653519522191234,0.7653519522191234,0.7645172197139143,0.7628350903969882,0.7636791804678917,0.7661754041295319,0.7645172197139143
house,GarageType,501.0,0.3054,0.6236,217.0,0.0172,0.5215,0.9264,3.0721,6.0747,0.2629,0.9621,0.9998,6.0,7.0,MLP,0.7636791804678917,0.7636835794074912,0.7628408454990638,0.769921076140483,0.7628408454990638,0.762036208320645,0.7612056218088467,0.7636835794074912,0.7628408454990638,0.7636835794074912,0.7666873940054302,0.7636835794074912
house,GarageType,501.0,0.3054,0.6236,217.0,0.0172,0.5215,0.9264,3.0721,6.0747,0.2629,0.9621,0.9998,6.0,7.0,TabNet,0.7661754041295319,0.7636835794074912,0.7653492729653224,0.7620317529730561,0.7645202065484662,0.7628672921297632,0.7628672921297632,0.7636835794074912,0.7645202065484662,0.7645202065484662,0.7653492729653224,0.7636835794074912
house,GarageType,501.0,0.2036,0.6241,124.5,0.015,0.5232,0.9349,3.2096,6.0802,0.2716,0.9565,0.9995,6.0,7.0,MLP,0.7634872301957789,0.7645202065484662,0.7645202065484662,0.7703770836189914,0.7645202065484662,0.7715792493703595,0.767836963554791,0.7645202065484662,0.7645202065484662,0.7645202065484662,0.7653507930602645,0.7645202065484662
house,GarageType,501.0,0.2036,0.6241,124.5,0.015,0.5232,0.9349,3.2096,6.0802,0.2716,0.9565,0.9995,6.0,7.0,TabNet,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7636869505541217,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319
house,GarageType,501.0,0.1996,0.6209,124.5,0.015,0.5215,0.9257,3.2189,6.0723,0.259,0.9645,0.9999,6.0,7.0,MLP,0.7605817165024347,0.7618104482740754,0.7629220865784958,0.7721378262133747,0.7618298935489951,0.7690199669936653,0.7648607628201163,0.7618104482740754,0.7618359041468813,0.7626593560572897,0.7645273411498561,0.7618104482740754
house,GarageType,501.0,0.1996,0.6209,124.5,0.015,0.5215,0.9257,3.2189,6.0723,0.259,0.9645,0.9999,6.0,7.0,TabNet,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7628623394848544,0.7661754041295319,0.7620206566578774,0.7628452677271447,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319
house,GarageType,501.0,0.1776,0.6189,85.0,0.0121,0.519,0.9044,4.0514,6.0704,0.2558,0.9664,0.9999,6.0,7.0,MLP,0.7644947549003207,0.7651220719103067,0.7631162605550603,0.7673606300627108,0.7659727904402651,0.7672723607390015,0.7690239976992483,0.7651220719103067,0.7636791804678917,0.7642651437560422,0.7623806186161655,0.7651220719103067
house,GarageType,501.0,0.1776,0.6189,85.0,0.0121,0.519,0.9044,4.0514,6.0704,0.2558,0.9664,0.9999,6.0,7.0,TabNet,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7628634986437133,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7661754041295319
house,GarageType,501.0,0.0958,0.6313,143.0,0.0132,0.5124,0.9099,3.1275,6.0684,0.2525,0.9683,0.9999,6.0,7.0,MLP,0.7639794665712609,0.7626339001844837,0.7671544348374688,0.7740572751734628,0.7626339001844837,0.7740572751734628,0.7751536067065292,0.7626339001844837,0.7626339001844837,0.7640395740084075,0.7619919377158495,0.7626339001844837
house,GarageType,501.0,0.0958,0.6313,143.0,0.0132,0.5124,0.9099,3.1275,6.0684,0.2525,0.9683,0.9999,6.0,7.0,TabNet,0.7661754041295319,0.7645202065484662,0.7661754041295319,0.7662587059501421,0.7645202065484662,0.7687530765674002,0.7662587059501421,0.7645202065484662,0.7645202065484662,0.7645202065484662,0.7645202065484662,0.7645202065484662
house,GarageType,501.0,0.0559,0.6237,147.5,0.0127,0.5212,0.9318,3.1127,6.0761,0.2652,0.9607,0.9997,6.0,7.0,MLP,0.7580840544358975,0.7619919377158495,0.7643255418761254,0.7656928160715244,0.7634828079676981,0.764867730132652,0.7723930553688899,0.7634828079676981,0.7628408454990638,0.7628408454990638,0.7626339001844837,0.7619919377158495
house,GarageType,501.0,0.0559,0.6237,147.5,0.0127,0.5212,0.9318,3.1127,6.0761,0.2652,0.9607,0.9997,6.0,7.0,TabNet,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7653507930602645,0.7661754041295319,0.7653507930602645,0.7653507930602645,0.7661754041295319,0.7661754041295319,0.7661754041295319,0.7645202065484662,0.7661754041295319
mushrooms,GillSize,4021.0,0.4924,0.6869,2.1941,0.001,0.4303,0.6215,24.1824,5.3131,0.4637,0.6913,0.2058,5.0,6.0,MLP,0.9397421767478132,0.9285818933864508,0.9109579389544024,0.7207168937213243,0.9397421767478132,0.704100351251301,0.7207168937213243,0.9285818933864508,0.9397421767478132,0.9397421767478132,0.9397421767478132,0.9397421767478132
mushrooms,GillSize,4021.0,0.4924,0.6869,2.1941,0.001,0.4303,0.6215,24.1824,5.3131,0.4637,0.6913,0.2058,5.0,6.0,TabNet,0.9397421767478132,0.9285818933864508,0.9084896514617802,0.7207168937213243,0.9397421767478132,0.704100351251301,0.7207168937213243,0.9285818933864508,0.9397421767478132,0.9397421767478132,0.9397421767478132,0.9397421767478132
mushrooms,GillSize,4021.0,0.4578,0.6839,2.164,0.0009,0.4325,0.6239,20.0459,5.3161,0.4649,0.6881,0.202,5.0,6.0,MLP,0.9407606305760486,0.9277448249102616,0.9109579389544024,0.7213004429859121,0.9407606305760486,0.702124060443071,0.7213004429859121,0.9277448249102616,0.9407606305760486,0.9407606305760486,0.9407606305760486,0.9407606305760486
mushrooms,GillSize,4021.0,0.4578,0.6839,2.164,0.0009,0.4325,0.6239,20.0459,5.3161,0.4649,0.6881,0.202,5.0,6.0,TabNet,0.9407606305760486,0.9277448249102616,0.9052110931166832,0.7213004429859121,0.9407606305760486,0.702124060443071,0.7213004429859121,0.9277448249102616,0.9407606305760486,0.9407606305760486,0.9407606305760486,0.9407606305760486
mushrooms,GillSize,4021.0,0.3997,0.6889,2.2144,0.0008,0.4288,0.62,32.0837,5.3111,0.4629,0.6934,0.2085,5.0,6.0,MLP,0.9424453165428192,0.932517275157835,0.9079718269516934,0.7242176882770959,0.9424453165428192,0.7091700837094769,0.7242176882770959,0.932517275157835,0.9424453165428192,0.9424453165428192,0.9424453165428192,0.9424453165428192
mushrooms,GillSize,4021.0,0.3997,0.6889,2.2144,0.0008,0.4288,0.62,32.0837,5.3111,0.4629,0.6934,0.2085,5.0,6.0,TabNet,0.9424453165428192,0.932517275157835,0.90644540433487,0.7242176882770959,0.9424453165428192,0.7091700837094769,0.7242176882770959,0.932517275157835,0.9424453165428192,0.9424453165428192,0.9424453165428192,0.9424453165428192
mushrooms,GillSize,4021.0,0.3554,0.6782,2.1079,0.0008,0.4366,0.6282,31.684,5.3218,0.4672,0.682,0.195,5.0,6.0,MLP,0.949901498094359,0.93810881103654,0.907587257860384,0.7324616308204984,0.949901498094359,0.7170032730495651,0.7324616308204984,0.93810881103654,0.949901498094359,0.949901498094359,0.949901498094359,0.949901498094359
mushrooms,GillSize,4021.0,0.3554,0.6782,2.1079,0.0008,0.4366,0.6282,31.684,5.3218,0.4672,0.682,0.195,5.0,6.0,TabNet,0.949901498094359,0.93810881103654,0.904217340667962,0.7324616308204984,0.949901498094359,0.7170032730495651,0.7324616308204984,0.93810881103654,0.949901498094359,0.949901498094359,0.949901498094359,0.949901498094359
mushrooms,GillSize,4021.0,0.285,0.6897,2.2231,0.0007,0.4281,0.6193,32.1152,5.3103,0.4626,0.6943,0.2096,5.0,6.0,MLP,0.9544596085608944,0.9409983238756822,0.9131482089233364,0.7379708818633519,0.9544596085608944,0.7268321468745302,0.7379708818633519,0.9409983238756822,0.9544596085608944,0.9544596085608944,0.9544596085608944,0.9544596085608944
mushrooms,GillSize,4021.0,0.285,0.6897,2.2231,0.0007,0.4281,0.6193,32.1152,5.3103,0.4626,0.6943,0.2096,5.0,6.0,TabNet,0.9544596085608944,0.9409983238756822,0.911892557125457,0.7379708818633519,0.9544596085608944,0.7268321468745302,0.7379708818633519,0.9409983238756822,0.9544596085608944,0.9544596085608944,0.9544596085608944,0.9544596085608944
mushrooms,GillSize,4021.0,0.2552,0.6878,2.2032,0.0007,0.4296,0.6208,32.043,5.3122,0.4634,0.6922,0.207,5.0,6.0,MLP,0.95673610855011,0.9393452277906348,0.91706660058765,0.7397826640492163,0.95673610855011,0.7253314867771242,0.7397826640492163,0.9393452277906348,0.95673610855011,0.95673610855011,0.95673610855011,0.95673610855011
mushrooms,GillSize,4021.0,0.2552,0.6878,2.2032,0.0007,0.4296,0.6208,32.043,5.3122,0.4634,0.6922,0.207,5.0,6.0,TabNet,0.95673610855011,0.9393452277906348,0.9170648675774696,0.7397826640492163,0.95673610855011,0.7253314867771242,0.7397826640492163,0.9393452277906348,0.95673610855011,0.95673610855011,0.95673610855011,0.95673610855011
mushrooms,GillSize,4021.0,0.199,0.6833,2.1578,0.0006,0.4329,0.6243,19.9996,5.3167,0.4652,0.6874,0.2012,5.0,6.0,MLP,0.959631373172502,0.9391295785708552,0.9224516930563024,0.7427894451254491,0.959631373172502,0.7335700440934488,0.7427894451254491,0.9391295785708552,0.959631373172502,0.959631373172502,0.959631373172502,0.959631373172502
mushrooms,GillSize,4021.0,0.199,0.6833,2.1578,0.0006,0.4329,0.6243,19.9996,5.3167,0.4652,0.6874,0.2012,5.0,6.0,TabNet,0.959631373172502,0.9391295785708552,0.919140215013321,0.7427894451254491,0.959631373172502,0.7335700440934488,0.7427894451254491,0.9391295785708552,0.959631373172502,0.959631373172502,0.959631373172502,0.959631373172502
mushrooms,GillSize,4021.0,0.1432,0.6891,2.2166,0.0006,0.4286,0.6198,20.4336,5.3109,0.4629,0.6936,0.2088,5.0,6.0,MLP,0.958391675582236,0.940573657224649,0.920663081229167,0.7421067571073651,0.958391675582236,0.7384754219064867,0.7421067571073651,0.940573657224649,0.958391675582236,0.958391675582236,0.958391675582236,0.958391675582236
mushrooms,GillSize,4021.0,0.1432,0.6891,2.2166,0.0006,0.4286,0.6198,20.4336,5.3109,0.4629,0.6936,0.2088,5.0,6.0,TabNet,0.958391675582236,0.9298686714049594,0.9205049180806318,0.7421067571073651,0.958391675582236,0.7384754219064867,0.7421067571073651,0.9298686714049594,0.958391675582236,0.958391675582236,0.958391675582236,0.958391675582236
mushrooms,GillSize,4021.0,0.0987,0.6852,2.1762,0.0006,0.4316,0.6229,31.9433,5.3148,0.4645,0.6894,0.2035,5.0,6.0,MLP,0.9656373895311156,0.944900586981722,0.946182472807784,0.749756111118681,0.9656373895311156,0.7445222420137116,0.749756111118681,0.944900586981722,0.9656373895311156,0.9656373895311156,0.9656373895311156,0.9656373895311156
mushrooms,GillSize,4021.0,0.0987,0.6852,2.1762,0.0006,0.4316,0.6229,31.9433,5.3148,0.4645,0.6894,0.2035,5.0,6.0,TabNet,0.9656373895311156,0.944900586981722,0.943079590420678,0.749756111118681,0.9656373895311156,0.7445222420137116,0.749756111118681,0.944900586981722,0.9656373895311156,0.9656373895311156,0.9656373895311156,0.9656373895311156
mushrooms,GillSize,4021.0,0.0507,0.6885,2.2103,0.0005,0.429,0.6203,32.0687,5.3115,0.4631,0.693,0.208,5.0,6.0,MLP,0.9639823317452156,0.955282237069034,0.9513527328875212,0.7480716914741007,0.9639823317452156,0.7463283218907885,0.7480716914741007,0.955282237069034,0.9639823317452156,0.9639823317452156,0.9639823317452156,0.9639823317452156
mushrooms,GillSize,4021.0,0.0507,0.6885,2.2103,0.0005,0.429,0.6203,32.0687,5.3115,0.4631,0.693,0.208,5.0,6.0,TabNet,0.9639823317452156,0.955282237069034,0.9499042996265806,0.7480716914741007,0.9639823317452156,0.7463283218907885,0.7480716914741007,0.955282237069034,0.9639823317452156,0.9639823317452156,0.9639823317452156,0.9639823317452156
mushrooms,RingType,4021.0,0.4894,0.489,125.5,0.0024,0.6147,1.0523,4.7935,7.7491,1.8006,0.5223,0.2239,4.0,10.0,MLP,0.9650148064262376,0.9650148064262376,0.9614955065901744,0.8066810596340692,0.9683286375222608,0.8066810596340692,0.8432856892450313,0.9650148064262376,0.9668799544322024,0.9683286375222608,0.9668799544322024,0.9650148064262376
mushrooms,RingType,4021.0,0.4894,0.489,125.5,0.0024,0.6147,1.0523,4.7935,7.7491,1.8006,0.5223,0.2239,4.0,10.0,TabNet,0.9650148064262376,0.9650148064262376,0.9606679104482638,0.8066810596340692,0.9683286375222608,0.8066810596340692,0.8432856892450313,0.9650148064262376,0.9668799544322024,0.9683286375222608,0.9668799544322024,0.9650148064262376
mushrooms,RingType,4021.0,0.4524,0.4837,133.125,0.0023,0.6225,1.0668,4.828,7.6807,1.8171,0.5302,0.2246,4.0,10.0,MLP,0.9648092187578924,0.9648092187578924,0.961079741109668,0.847616133641846,0.9679146424056736,0.8215588117304091,0.847616133641846,0.9648092187578924,0.9668799544322024,0.9679146424056736,0.9679146424056736,0.9648092187578924
mushrooms,RingType,4021.0,0.4524,0.4837,133.125,0.0023,0.6225,1.0668,4.828,7.6807,1.8171,0.5302,0.2246,4.0,10.0,TabNet,0.9648092187578924,0.9648092187578924,0.9614985108721223,0.847616133641846,0.9679146424056736,0.8215588117304091,0.847616133641846,0.9648092187578924,0.9668799544322024,0.9679146424056736,0.9679146424056736,0.9648092187578924
mushrooms,RingType,4021.0,0.4059,0.4747,141.75,0.0021,0.6243,1.0651,4.8921,7.7099,1.8297,0.523,0.2189,4.0,10.0,MLP,0.965015617139826,0.965015617139826,0.963980933444622,0.8420741360888746,0.9679146424056736,0.8145443723420519,0.8420741360888746,0.965015617139826,0.9668799544322024,0.9679146424056736,0.9668799544322024,0.965015617139826
mushrooms,RingType,4021.0,0.4059,0.4747,141.75,0.0021,0.6243,1.0651,4.8921,7.7099,1.8297,0.523,0.2189,4.0,10.0,TabNet,0.965015617139826,0.965015617139826,0.9625317173635496,0.8420741360888746,0.9679146424056736,0.8145443723420519,0.8420741360888746,0.965015617139826,0.9668799544322024,0.9679146424056736,0.9668799544322024,0.965015617139826
mushrooms,RingType,4021.0,0.3482,0.4804,125.9,0.0019,0.6211,1.0623,4.744,7.7188,1.8196,0.5233,0.2214,4.0,10.0,MLP,0.9668782215453906,0.9668782215453906,0.9658442075693912,0.8328629255085811,0.9689493860151344,0.806900262421583,0.8328629255085811,0.9668782215453906,0.9668799544322024,0.9689493860151344,0.9668799544322024,0.9668782215453906
mushrooms,RingType,4021.0,0.3482,0.4804,125.9,0.0019,0.6211,1.0623,4.744,7.7188,1.8196,0.5233,0.2214,4.0,10.0,TabNet,0.9668782215453906,0.9668782215453906,0.9641842944900244,0.8328629255085811,0.9689493860151344,0.806900262421583,0.8328629255085811,0.9668782215453906,0.9668799544322024,0.9689493860151344,0.9668799544322024,0.9668782215453906
mushrooms,RingType,4021.0,0.3007,0.479,122.4545,0.0018,0.6233,1.0658,4.8915,7.6959,1.8251,0.5258,0.2218,4.0,10.0,MLP,0.9662576723535422,0.9662576723535422,0.9648090312791512,0.8068953098090249,0.9687426207250228,0.8068953098090249,0.8256480598828188,0.9662576723535422,0.9668799544322024,0.9687426207250228,0.9668799544322024,0.9662576723535422
mushrooms,RingType,4021.0,0.3007,0.479,122.4545,0.0018,0.6233,1.0658,4.8915,7.6959,1.8251,0.5258,0.2218,4.0,10.0,TabNet,0.9662576723535422,0.9662576723535422,0.9641894085399269,0.8068953098090249,0.9687426207250228,0.8068953098090249,0.8256480598828188,0.9662576723535422,0.9668799544322024,0.9687426207250228,0.9668799544322024,0.9662576723535422
mushrooms,RingType,4021.0,0.2576,0.4841,111.1538,0.0017,0.6202,1.0611,4.9018,7.7025,1.8184,0.5256,0.2241,4.0,10.0,MLP,0.9658429927070504,0.9658429927070504,0.9654289739970005,0.7957201877995461,0.9691564914768624,0.7957201877995461,0.8173867619584825,0.9658429927070504,0.9668799544322024,0.9691564914768624,0.9668799544322024,0.9658429927070504
mushrooms,RingType,4021.0,0.2576,0.4841,111.1538,0.0017,0.6202,1.0611,4.9018,7.7025,1.8184,0.5256,0.2241,4.0,10.0,TabNet,0.9658429927070504,0.9658429927070504,0.9654298184935596,0.7957201877995461,0.9691564914768624,0.7957201877995461,0.8173867619584825,0.9658429927070504,0.9668799544322024,0.9691564914768624,0.9668799544322024,0.9658429927070504
mushrooms,RingType,4021.0,0.1895,0.4931,123.6154,0.0015,0.6159,1.0548,4.8889,7.7017,1.8009,0.53,0.2277,4.0,10.0,MLP,0.9681207632066084,0.9681207632066084,0.9675002869556966,0.8140745118246681,0.9693633763466218,0.7988227399127973,0.8140745118246681,0.9681207632066084,0.9668799544322024,0.9693633763466218,0.9668799544322024,0.9693633763466218
mushrooms,RingType,4021.0,0.1895,0.4931,123.6154,0.0015,0.6159,1.0548,4.8889,7.7017,1.8009,0.53,0.2277,4.0,10.0,TabNet,0.9681207632066084,0.9681207632066084,0.9662585048113804,0.8140745118246681,0.9693633763466218,0.7988227399127973,0.8140745118246681,0.9681207632066084,0.9668799544322024,0.9693633763466218,0.9668799544322024,0.9693633763466218
mushrooms,RingType,4021.0,0.1482,0.4867,119.0714,0.0015,0.6194,1.06,4.9479,7.6975,1.8126,0.5281,0.2251,4.0,10.0,MLP,0.9679142925283856,0.9679142925283856,0.966465638076904,0.7917843482011742,0.9691563979318976,0.7917843482011742,0.8031464107163638,0.9679142925283856,0.9668799544322024,0.9691563979318976,0.9668799544322024,0.9691563979318976
mushrooms,RingType,4021.0,0.1482,0.4867,119.0714,0.0015,0.6194,1.06,4.9479,7.6975,1.8126,0.5281,0.2251,4.0,10.0,TabNet,0.9679142925283856,0.9679142925283856,0.9658431225485836,0.7917843482011742,0.9691563979318976,0.7917843482011742,0.8031464107163638,0.9679142925283856,0.9668799544322024,0.9691563979318976,0.9668799544322024,0.9691563979318976
mushrooms,RingType,4021.0,0.0962,0.4799,102.5882,0.0014,0.622,1.0673,4.8782,7.7122,1.8222,0.5232,0.2224,4.0,10.0,MLP,0.969777490366608,0.969777490366608,0.9687422522434508,0.7961259895361207,0.969984150705757,0.7886780155582657,0.7961259895361207,0.969777490366608,0.9668799544322024,0.969984150705757,0.9668799544322024,0.969984150705757
mushrooms,RingType,4021.0,0.0962,0.4799,102.5882,0.0014,0.622,1.0673,4.8782,7.7122,1.8222,0.5232,0.2224,4.0,10.0,TabNet,0.969777490366608,0.969777490366608,0.9662571788367263,0.7961259895361207,0.969984150705757,0.7886780155582657,0.7961259895361207,0.969777490366608,0.9668799544322024,0.969984150705757,0.9668799544322024,0.969984150705757
